"player_name","player_id","year","xwoba","xba","xslg","xiso","xobp","brl","brl_percent","exit_velocity","max_ev","hard_hit_percent","k_percent","bb_percent","whiff_percent","chase_percent","arm_strength","xera","fb_velocity","fb_spin","curve_spin"
"Hunter Gaddis","683769","2024",80,76,72,63,84,75,80,78,31,50,58,88,60,81,,78,83,69,
"Anthony Molina","683627","2024",3,1,7,51,1,75,77,5,35,6,3,35,1,2,,3,58,15,
"Trevor Rogers","669432","2024",15,8,19,38,10,12,49,4,39,7,25,26,41,71,,17,18,85,
"Kyle Harrison","690986","2024",42,52,37,30,53,6,32,29,6,29,42,50,33,30,,42,29,42,
"Zach Eflin","621107","2024",63,32,34,42,83,4,49,42,7,32,22,98,20,66,,63,14,23,47
"A.J. Puk","640462","2024",5,17,36,57,1,86,92,95,34,85,8,1,19,15,,7,41,28,
"Kevin Kelly","687330","2024",89,78,72,62,95,86,89,91,41,81,62,99,9,29,,86,8,32,
"Derek Law","571882","2024",54,24,60,82,46,62,83,70,75,42,50,63,69,92,,52,61,12,
"Ryan Yarbrough","642232","2024",75,73,64,55,75,41,72,86,19,96,1,81,4,50,,75,1,1,10
"Seth Martinez","661527","2024",67,68,74,73,55,62,80,60,60,37,7,37,54,19,,68,7,14,
"Javier Assad","665871","2024",69,71,71,66,68,21,62,56,51,55,42,38,5,24,,77,17,1,33
"Albert Suárez","544150","2024",86,81,79,68,85,75,84,37,24,41,44,77,72,54,,85,68,78,
"Jorge López","605347","2024",51,64,57,54,39,50,53,66,57,61,21,27,22,4,,47,68,4,
"Grayson Rodriguez","680570","2024",46,62,36,21,62,25,39,37,43,24,73,41,77,46,,45,86,53,75
"Tyler Alexander","641302","2024",23,25,13,8,56,2,12,52,9,46,27,77,7,60,,23,2,47,
"David Bednar","670280","2024",27,49,18,6,56,41,15,54,50,65,67,68,72,92,,20,92,95,32
"Casey Mize","663554","2024",36,15,25,41,53,12,45,11,7,13,19,82,23,45,,56,74,45,7
"Hayden Wesneski","669713","2024",84,58,82,89,80,75,92,82,15,76,38,82,31,64,,78,44,15,
"Jared Jones","683003","2024",81,74,54,38,93,9,23,25,35,23,88,95,95,97,,81,94,96,66
"Jordan Leasure","673929","2024",66,74,68,59,64,75,75,70,37,79,34,31,59,46,,55,83,55,
"Spencer Arrighetti","681293","2024",23,21,32,52,17,41,69,56,1,55,56,21,64,32,,24,46,64,80
"JP Sears","676664","2024",28,32,16,9,54,1,15,13,13,27,20,65,22,50,,28,18,8,
"Tayler Scott","605463","2024",86,86,96,97,64,94,96,92,16,88,80,18,80,27,,92,29,24,
"Jordan Wicks","696136","2024",46,53,46,44,50,41,33,34,66,38,72,49,72,89,,45,28,53,
"Chris Sale","519242","2024",93,84,85,81,93,50,90,95,8,94,92,95,86,97,,93,58,38,
"Taijuan Walker","592836","2024",3,13,1,1,27,12,1,13,5,19,20,73,5,13,,3,11,5,
"Bryan Hudson","663542","2024",97,95,98,97,92,98,98,52,60,76,92,65,55,54,,98,16,69,
"Randy Vásquez","681190","2024",9,1,6,27,18,34,36,48,43,71,5,91,18,29,,9,57,79,97
"Mitch Keller","656605","2024",25,25,28,35,32,6,46,42,8,25,40,61,26,64,,25,50,88,69
"Max Fried","608331","2024",60,53,72,78,46,29,74,97,8,93,29,32,34,51,,59,46,27,82
"Jameson Taillon","592791","2024",64,67,53,45,77,34,64,60,14,69,12,63,8,68,,64,26,61,72
"Bailey Ober","641927","2024",71,69,55,44,85,12,23,52,45,52,74,84,41,83,,71,18,65,
"Griffin Canning","656288","2024",17,20,18,16,21,2,21,6,26,31,13,36,27,55,,18,37,14,24
"Seth Lugo","607625","2024",63,56,35,25,81,2,33,37,5,47,51,82,37,44,,62,26,81,100
"Zack Wheeler","554430","2024",91,91,87,76,86,21,64,85,51,80,84,56,78,79,,90,61,76,67
"Charlie Morton","450203","2024",54,69,62,55,46,16,39,80,24,78,66,30,49,35,,61,44,50,95
"Logan Gilbert","669302","2024",66,64,53,47,73,12,56,20,9,57,66,58,76,51,,66,82,5,11
"Reese Olson","681857","2024",65,51,73,81,56,29,72,13,35,12,42,54,64,72,,65,55,33,59
"Logan Webb","657277","2024",21,5,27,67,18,6,60,8,1,1,31,73,6,68,,21,18,4,
"Tyler Glasnow","607192","2024",92,88,83,73,91,16,46,37,1,50,96,71,76,33,,91,86,97,86
"Jack Flaherty","656427","2024",83,63,76,78,84,34,77,62,11,65,95,94,97,73,,83,44,49,42
"Luke Weaver","596133","2024",81,85,77,60,86,62,72,52,59,33,82,87,68,86,,81,65,89,
"Bryan Abreu","650556","2024",50,84,73,56,32,62,53,37,78,48,92,14,93,21,,38,89,73,
"Cole Irvin","608344","2024",44,25,29,40,64,16,36,37,63,40,17,85,4,13,,44,18,10,13
"Bryce Miller","682243","2024",38,51,21,11,66,1,5,5,41,12,68,56,55,22,,38,65,91,
"Cal Quantrill","615698","2024",50,38,54,63,45,12,56,33,27,38,25,41,14,15,,44,40,36,41
"Joe Boyle","671212","2024",25,56,57,58,8,62,76,73,50,44,50,2,60,1,,26,90,92,
"Landon Knack","689017","2024",65,74,52,36,72,62,61,1,50,4,31,63,47,11,,65,31,86,
"Mitchell Parker","680730","2024",57,38,39,38,75,25,43,23,51,25,41,81,21,80,,56,25,30,15
"Nick Lodolo","666157","2024",77,82,77,63,78,34,39,46,54,54,89,75,93,85,,77,44,77,68
"Nick Mears","683232","2024",54,67,79,78,25,86,90,25,78,85,60,6,35,16,,52,90,58,36
"José Ureña","570632","2024",60,38,58,69,55,25,53,48,29,56,10,51,44,46,,59,80,39,
"Tanner Bibee","676440","2024",38,44,23,15,61,6,25,46,49,58,69,63,59,17,,38,58,78,71
"Bryan Hoeing","663773","2024",20,9,19,35,31,62,55,25,41,30,42,72,26,69,,21,54,4,
"Declan Cronin","686539","2024",67,55,83,92,31,86,93,16,24,2,62,21,83,45,,66,37,97,
"Steven Matz","571927","2024",6,2,13,40,5,34,56,66,4,88,5,43,3,12,,6,49,35,
"Bryce Jarvis","686826","2024",28,47,50,53,8,62,77,13,10,18,18,3,34,27,,28,80,22,
"Jason Foley","671345","2024",32,27,30,38,37,62,56,18,3,26,38,41,28,16,,70,93,11,
"Simeon Woods Richardson","680573","2024",49,38,25,19,74,29,35,40,84,26,36,85,8,24,,48,34,39,
"Clarke Schmidt","657376","2024",59,66,60,56,61,16,45,60,22,75,77,58,80,23,,55,55,97,94
"Spencer Turnbull","605513","2024",39,35,40,45,42,29,49,75,64,21,64,59,41,17,,38,18,89,76
"Pablo López","641154","2024",76,67,53,44,88,9,35,67,18,48,80,91,71,55,,76,58,36,60
"Austin Gomber","596295","2024",35,30,24,26,49,4,23,42,44,58,17,50,21,17,,35,4,33,55
"Chris Stratton","608717","2024",42,49,80,89,14,75,74,99,38,97,38,5,38,38,,42,17,86,98
"Hoby Milner","571948","2024",80,64,71,72,78,75,80,86,45,93,69,72,8,13,,81,1,3,
"Nestor Cortes","641482","2024",89,82,76,61,92,16,67,23,12,31,55,84,41,51,,89,14,66,
"Nick Anderson","623433","2024",11,7,27,61,1,86,92,56,23,76,6,9,2,10,,5,55,21,5
"Matt Sauer","669422","2024",13,31,18,11,12,41,25,20,12,26,1,12,2,29,,14,68,22,51
"Shota Imanaga","684007","2024",92,76,80,75,92,21,59,60,41,44,79,90,86,96,,91,18,89,
"Ranger Suárez","624133","2024",95,86,94,92,92,34,84,97,38,94,78,84,34,86,,95,13,3,13
"Zack Littell","641793","2024",72,49,56,59,81,16,64,56,8,78,58,93,42,74,,70,26,7,
"Elvis Peguero","665625","2024",50,17,63,89,28,75,79,20,68,13,54,38,59,89,,50,90,2,
"J.P. France","641585","2024",11,17,7,6,20,29,28,70,6,84,23,31,53,11,,10,21,77,54
"Sonny Gray","543243","2024",75,69,56,48,84,25,49,30,59,79,89,81,72,41,,74,34,95,74
"Quinn Priester","682990","2024",19,17,15,12,34,34,55,23,29,2,7,51,31,41,,19,34,20,61
"Adbert Alzolay","640470","2024",2,7,1,2,13,25,1,3,35,54,20,53,33,59,,2,58,52,
"Hunter Stratton","676702","2024",96,93,88,73,97,50,32,92,73,95,82,95,91,73,,96,77,99,
"Shawn Armstrong","542888","2024",46,32,52,67,37,62,59,7,54,29,82,32,39,24,,45,36,53,
"Ryne Nelson","669194","2024",16,3,9,23,26,29,55,13,24,23,14,83,10,82,,16,70,65,
"José Buttó","676130","2024",35,74,60,51,22,34,51,56,9,35,64,10,81,51,,35,37,64,
"Justin Slaten","686580","2024",78,53,82,92,79,86,94,75,64,62,66,91,65,90,,78,84,83,
"Hunter Greene","668881","2024",91,92,95,90,77,41,86,82,9,84,76,32,73,59,,90,97,82,
"Rafael Montero","606160","2024",22,23,23,30,26,50,45,48,38,68,10,66,8,69,,23,70,76,
"Ryan Pepiot","686752","2024",81,89,69,41,88,29,29,25,50,35,84,56,90,24,,81,61,77,
"Jalen Beeks","656222","2024",69,86,68,46,66,75,80,92,27,74,17,15,13,6,,70,55,32,
"Alex Faedo","656412","2024",71,66,68,68,72,41,46,34,13,59,49,53,93,90,,71,42,87,
"Yuki Matsui","673513","2024",54,58,71,75,21,75,76,89,72,51,21,6,73,42,,47,20,81,
"Jose Quintana","500779","2024",8,4,12,27,10,16,56,23,9,10,11,43,13,24,,9,5,10,16
"Marcus Stroman","573186","2024",27,45,27,18,32,9,42,42,2,61,38,21,37,41,,27,6,56,
"Jacob Latz","656641","2024",48,67,49,36,43,62,62,86,41,62,38,19,73,54,,51,58,70,
"Jordan Hicks","663855","2024",57,55,57,58,59,16,56,27,54,44,25,54,31,31,,56,70,2,
"Luis L. Ortiz","682847","2024",51,87,58,29,43,34,28,48,19,44,21,15,23,18,,59,70,63,
"Sixto Sánchez","664350","2024",26,17,43,63,17,50,77,32,61,25,2,43,1,18,,26,52,21,
"Luis García","472610","2024",53,42,51,56,57,62,62,7,70,25,47,66,65,97,,74,89,27,
"Ronel Blanco","669854","2024",79,88,85,75,72,34,72,70,37,72,59,20,69,60,,80,42,37,
"Ryan Thompson","657044","2024",99,91,96,95,99,94,96,70,50,81,56,97,18,99,,99,8,13,
"Luis Gil","661563","2024",81,93,94,87,66,41,74,67,22,89,89,9,83,18,,81,88,94,
"Tyler Anderson","542881","2024",21,34,16,8,38,1,14,84,28,67,21,37,58,64,,22,2,32,
"Kyle Muller","666205","2024",60,38,35,35,71,29,29,16,3,35,33,82,16,14,,59,29,79,12
"Tommy Henry","674072","2024",9,10,11,13,16,21,12,2,10,11,25,46,9,33,,9,6,24,17
"George Kirby","669923","2024",68,55,31,21,88,4,31,56,11,81,56,97,33,76,,68,77,40,39
"Luis Castillo","622491","2024",74,56,59,59,78,12,55,23,21,41,75,77,64,67,,73,77,30,
"Burch Smith","572143","2024",44,27,52,71,38,50,64,20,73,16,29,58,35,36,,35,57,60,28
"Matt Manning","666159","2024",29,21,30,47,30,29,29,66,10,72,27,32,37,40,,29,46,44,
"Michael King","650633","2024",34,49,28,18,40,9,33,87,27,71,71,21,69,22,,32,31,59,
"Patrick Corbin","571578","2024",3,1,4,18,5,1,33,10,29,4,4,46,12,42,,8,13,16,
"Brandon Bielak","656232","2024",7,7,5,9,14,34,29,54,51,63,1,61,4,10,,7,23,67,
"Mitch Spence","687765","2024",77,60,78,82,73,50,69,70,73,61,46,71,60,84,,77,,,88
"Aaron Nola","605400","2024",63,41,56,66,66,12,62,46,5,48,55,66,31,74,,63,12,37,56
"Robert Gasser","688107","2024",85,29,86,98,72,94,96,97,63,100,1,98,20,76,,,32,17,
"Erick Fedde","607200","2024",68,69,53,42,79,9,46,70,15,60,47,75,26,15,,68,37,4,
"Ryan Walker","676254","2024",83,78,86,86,77,86,92,89,51,73,97,91,86,62,,81,65,52,
"Joe Musgrove","605397","2024",5,8,8,14,8,6,14,37,37,53,37,56,68,57,,3,25,99,85
"Kenta Maeda","628317","2024",15,17,5,5,34,16,11,70,26,71,19,59,27,40,,16,4,57,
"Trevor Williams","592866","2024",69,63,69,70,72,34,76,37,61,28,31,56,15,38,,70,2,19,
"José Alvarado","621237","2024",89,84,87,86,82,86,89,46,29,27,65,45,44,96,,85,96,18,
"Luis Severino","622663","2024",56,64,66,68,43,34,82,82,27,51,37,25,28,55,,53,83,29,
"Brady Singer","663903","2024",41,37,34,37,52,9,36,32,61,34,72,61,44,29,,41,21,54,
"Mitch White","669952","2024",2,6,2,3,2,34,25,29,2,29,2,12,2,59,,2,49,51,58
"Andrew Heaney","571760","2024",46,58,30,16,70,12,31,8,19,16,53,79,60,70,,45,12,84,
"Ross Stripling","548389","2024",38,7,37,77,32,34,89,67,27,81,7,81,10,73,,37,12,18,
"Cooper Criswell","681867","2024",68,64,58,55,77,29,41,48,33,48,60,80,24,70,,66,2,11,
"Kody Funderburk","681892","2024",20,24,44,61,12,50,46,50,21,32,42,29,55,7,,20,34,56,
"Génesis Cabrera","650893","2024",26,16,42,66,8,75,79,10,33,4,6,9,18,46,,26,77,68,
"Logan Allen","663531","2024",65,30,66,84,64,86,93,75,67,54,12,94,16,6,,65,9,1,
"Austin Voth","608723","2024",57,44,46,52,68,62,53,66,54,92,31,91,63,94,,56,42,51,
"Bryce Elder","693821","2024",6,5,13,27,5,29,20,19,54,4,16,34,22,43,,6,4,8,
"Andrew Abbott","671096","2024",89,85,80,67,89,16,66,67,39,87,28,72,12,12,,86,32,45,84
"Tarik Skubal","669373","2024",97,92,88,73,99,25,62,89,57,89,92,93,87,94,,97,89,31,
"Justin Verlander","434378","2024",50,68,41,23,61,16,10,54,1,92,27,29,21,31,,50,46,86,71
"Brent Suter","608718","2024",36,26,27,33,48,41,46,89,20,92,41,61,24,45,,35,1,33,
"Anthony Bender","669622","2024",7,4,12,29,7,41,18,62,4,31,70,61,49,58,,8,74,48,
"Ryan Weathers","677960","2024",39,51,40,33,38,6,38,18,43,42,31,54,50,21,,38,80,67,
"Logan Allen","671106","2024",31,27,23,26,46,6,32,11,10,15,33,63,31,19,,31,10,19,
"DL Hall","669084","2024",1,3,3,10,1,50,36,50,20,37,11,16,24,37,,1,23,13,45
"Zack Thompson","668868","2024",23,32,23,21,29,34,5,46,5,37,63,35,39,86,,24,8,1,65
"Emmanuel Clase","661403","2024",95,71,88,94,94,75,80,54,51,74,74,97,71,98,,94,,,
"Peter Lambert","663567","2024",37,31,46,58,28,50,72,75,47,70,19,32,59,38,,37,55,44,
"Nick Martinez","607259","2024",72,27,64,82,75,62,93,92,21,96,21,96,43,98,,72,20,75,57
"Jared Koenig","657649","2024",88,73,83,85,80,75,82,16,17,68,5,84,1,31,,88,50,63,43
"Hunter Harvey","640451","2024",78,53,83,93,68,98,98,34,70,7,84,71,68,92,,78,96,9,
"Cole Ragans","666142","2024",65,44,67,77,59,25,69,62,51,74,78,56,85,72,,65,85,96,40
"Sean Manaea","640455","2024",38,38,45,53,30,21,49,37,34,44,41,24,43,35,,37,23,8,
"Dean Kremer","665152","2024",14,32,7,4,40,1,5,56,7,45,59,43,39,32,,15,34,46,76
"Dylan Lee","669276","2024",88,66,77,78,75,62,64,64,32,77,46,53,84,97,,87,15,49,
"Dane Dunning","641540","2024",12,36,7,4,20,6,2,2,34,6,81,20,84,46,,11,5,23,
"José Suarez","660761","2024",25,51,48,48,14,34,23,89,72,52,55,7,81,37,,25,28,64,
"Jesús Luzardo","666200","2024",39,49,29,19,57,9,5,12,3,20,76,40,86,49,,40,80,39,
"Chris Bassitt","605135","2024",19,16,28,46,14,9,28,48,34,36,42,23,14,12,,19,28,20,20
"Triston McKenzie","663474","2024",23,53,28,15,24,9,18,30,33,56,37,8,29,11,,24,10,44,14
"Jake Irvin","663623","2024",31,16,19,23,54,9,41,8,4,18,24,90,23,31,,30,52,73,49
"Keaton Winn","676775","2024",12,12,10,11,19,12,23,1,14,2,25,46,31,88,,13,74,60,
"Buck Farmer","571656","2024",57,67,58,53,62,50,49,81,82,63,36,75,52,82,,56,21,79,
"Reid Detmers","672282","2024",63,66,55,50,70,2,15,42,38,58,68,51,76,72,,62,52,25,44
"Wandy Peralta","593974","2024",19,27,26,29,30,41,21,19,65,12,10,76,13,46,,19,70,31,
"Tim Hill","657612","2024",68,45,89,97,34,94,96,87,63,67,3,30,1,24,,68,3,24,
"Pedro Avila","658648","2024",5,3,12,27,4,62,61,16,27,47,65,34,64,79,,4,46,61,76
"Easton Lucas","687922","2024",,,,,,,,,96,,,,,,,,54,42,
"Dedniel Núñez","673380","2024",,,,,,,,,59,,,,,,,,83,93,
"Tyler Ferguson","621053","2024",,,,,,,,,59,,,,,,,,68,57,
"Sam Moll","594580","2024",,,,,,,,,88,,,,,,,,23,91,
"Kyle Nicolas","693312","2024",,,,,,,,,39,,,,,,,,97,87,
"José Ruiz","614179","2024",,,,,,,,,73,,,,,,,,85,43,
"Eduard Bazardo","660825","2024",,,,,,,,,68,,,,,,,,41,15,
"Paul Skenes","694973","2024",,,,,,,,,66,,,,,,,,100,70,
"Jacob Lopez","682052","2024",,,,,,,,,94,,,,,,,,7,25,
"Chris Roycroft","688297","2024",,,,,,,,,51,,,,,,,,90,30,
"Josh Walker","677020","2024",,,,,,,,,95,,,,,,,,41,35,
"Chad Green","643338","2024",,,,,,,,,67,,,,,,,,72,95,
"Luis Frías","666818","2024",,,,,,,,,73,,,,,,,,83,38,
"Chase Silseth","681217","2024",,,,,,,,,64,,,,,,,,44,87,
"Tylor Megill","656731","2024",,,,,,,,,85,,,,,,,,82,35,
"Gus Varland","681402","2024",,,,,,,,,89,,,,,,,,63,61,
"Nick Burdi","595897","2024",,,,,,,,,54,,,,,,,,95,83,
"Kent Emanuel","592288","2024",,,,,,,,,6,,,,,,,,3,6,
"Janson Junk","676083","2024",,,,,,,,,59,,,,,,,,50,69,
"Richard Lovelady","663992","2024",,,,,,,,,66,,,,,,,,21,33,
"Tyler Duffey","608648","2024",,,,,,,,,85,,,,,,,,11,77,52
"Pete Fairbanks","664126","2024",,,,,,,,,65,,,,,,,,93,75,
"Eli Morgan","669212","2024",,,,,,,,,92,,,,,,,,21,59,
"Jeremiah Estrada","669093","2024",,,,,,,,,89,,,,,,,,90,29,
"Grant Anderson","681982","2024",,,,,,,,,89,,,,,,,,23,56,
"J.P. Feyereisen","656420","2024",,,,,,,,,13,,,,,,,,16,88,
"Shane Bieber","669456","2024",,,,,,,,,30,,,,,,,,20,67,
"Randy Rodríguez","678495","2024",,,,,,,,,93,,,,,,,,96,99,
"Nick Nastrini","680897","2024",,,,,,,,,69,,,,,,,,37,82,
"Spencer Strider","675911","2024",,,,,,,,,67,,,,,,,,86,53,
"Sean Reid-Foley","656887","2024",,,,,,,,,73,,,,,,,,72,41,
"Aroldis Chapman","547973","2024",64,99,94,68,26,86,46,42,77,76,99,1,97,3,,63,94,62,
"Bobby Miller","676272","2024",,,,,,,,,82,,,,,,,,97,73,
"Hogan Harris","663687","2024",,,,,,,,,79,,,,,,,,52,64,
"Ray Kerr","678061","2024",,,,,,,,,59,,,,,,,,68,65,1
"Mason Miller","695243","2024",100,100,100,99,100,98,98,98,95,100,100,68,100,100,,100,100,96,
"Carson Spiers","686730","2024",,,,,,,,,84,,,,,,,,25,53,
"Joey Estes","683155","2024",,,,,,,,,45,,,,,,,,25,88,
"Braxton Garrett","666129","2024",,,,,,,,,70,,,,,,,,4,12,
"Jorge Alcala","660896","2024",,,,,,,,,90,,,,,,,,88,86,
"Jonathan Hernández","642546","2024",,,,,,,,,37,,,,,,,,93,42,
"Giovanny Gallegos","606149","2024",,,,,,,,,80,,,,,,,,21,62,
"Wes Parsons","641149","2024",,,,,,,,,70,,,,,,,,58,72,
"Cionel Pérez","672335","2024",,,,,,,,,16,,,,,,,,82,18,
"Brock Stewart","592779","2024",,,,,,,,,23,,,,,,,,94,98,
"Justin Wilson","458677","2024",,,,,,,,,76,,,,,,,,65,45,
"Zach Pop","647315","2024",,,,,,,,,37,,,,,,,,86,59,
"Drew Smith","622098","2024",,,,,,,,,61,,,,,,,,63,95,
